filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_018_L1-51.mzML	150109355.09902	35109158.233569995	23.389054073552014	L1-51	MS1_pos	DP3	MED5.5	25.7	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_011_L1-47.mzML	202493044.626431	48106092.304315	23.75691095615825	L1-47	MS1_pos	DP4	MED0.5	25.0	211.0	Mediterranean
Sep2023_conjBA_BeefDiet_013_L1-116.mzML	157112924.745579	26172511.931274	16.65840794043933	L1-116	MS1_pos	DP3	MED0.5	23.8	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_009_L1-143.mzML	131045963.777884	35926630.07553	27.415289292254542	L1-143	MS1_pos	DP1	MED5.5	26.8	236.0	Mediterranean
Sep2023_conjBA_BeefDiet_010_L1-56.mzML	126149664.14716999	20807285.778364997	16.494126971349356	L1-56	MS1_pos	DP2	MED5.5	24.3	214.0	Mediterranean
Sep2023_conjBA_BeefDiet_045_L1-93.mzML	228032476.872828	68606457.28329	30.086265879377923	L1-93	MS1_pos	DP2	MED2.5	24.5	223.0	Mediterranean
Sep2023_conjBA_BeefDiet_046_L1-67.mzML	145584177.81391	51631054.484249994	35.46474298206109	L1-67	MS1_pos	DP3	MED0.5	27.2	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_050_L1-139.mzML	144531395.82784498	36609644.737380005	25.32989080170974	L1-139	MS1_pos	DP4	MED0.5	27.5	234.0	Mediterranean
Sep2023_conjBA_BeefDiet_041_L1-77.mzML	187175550.271244	40405676.055674	21.587048093151285	L1-77	MS1_pos	DP3	MED5.5	24.5	218.0	Mediterranean
Sep2023_conjBA_BeefDiet_097_L1-109.mzML	181879757.70734	45741175.76101999	25.149129478510428	L1-109	MS1_pos	DP1	MED5.5	27.6	227.0	Mediterranean
Sep2023_conjBA_BeefDiet_086_L1-131.mzML	226252336.36944	74034043.44297999	32.72189124362996	L1-131	MS1_pos	DP2	MED5.5	27.6	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_090_L1-9.mzML	189515781.059723	32545082.083729997	17.17275569440516	L1-9	MS1_pos	DP3	MED0.5	25.3	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_092_L1-133.mzML	205861434.953858	60386864.30626501	29.333743019813397	L1-133	MS1_pos	DP4	MED2.5	25.5	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_096_L1-110.mzML	86533329.55562499	17453732.105580002	20.169953236758868	L1-110	MS1_pos	DP2	MED0.5	25.7	227.0	Mediterranean
Sep2023_conjBA_BeefDiet_072_L1-144.mzML	132139469.649742	26984922.904546	20.421546246609054	L1-144	MS1_pos	DP2	MED0.5	26.0	236.0	Mediterranean
Sep2023_conjBA_BeefDiet_078_L1-68.mzML	149965235.51550502	49119267.525105	32.75376946947583	L1-68	MS1_pos	DP4	MED5.5	22.7	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_083_L1-14.mzML	148762398.686606	35921877.49162	24.14714861333724	L1-14	MS1_pos	DP2	MED2.5	28.0	204.0	Mediterranean
Sep2023_conjBA_BeefDiet_079_L1-44.mzML	112668655.102707	23685415.20477	21.022186856831425	L1-44	MS1_pos	DP1	MED5.5	23.9	211.0	Mediterranean
Sep2023_conjBA_BeefDiet_087_L1-70.mzML	243470276.55571902	61261009.000819996	25.161596671041774	L1-70	MS1_pos	DP1	MED0.5	26.8	217.0	Mediterranean
Sep2023_conjBA_BeefDiet_069_L1-97.mzML	156881334.196041	28215170.292510003	17.985039735353062	L1-97	MS1_pos	DP2	MED2.5	25.4	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_073_L1-127.mzML	166558219.708464	46779508.01941	28.085979846140734	L1-127	MS1_pos	DP4	MED0.5	23.5	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_063_L1-82.mzML	129181528.229689	22111221.19407	17.116395429813714	L1-82	MS1_pos	DP3	MED0.5	25.6	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_055_L1-50.mzML	173970897.488055	42714700.32988	24.552784946581557	L1-50	MS1_pos	DP2	MED0.5	25.1	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_053_L1-124.mzML	250500878.306933	62581145.53089	24.982405632211304	L1-124	MS1_pos	DP1	MED2.5	26.6	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_051_L1-80.mzML	122196924.532896	24748300.279821	20.252801266826186	L1-80	MS1_pos	DP1	MED5.5	22.1	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_066_L1-8.mzML	127012131.896269	23669813.83356	18.635868464038676	L1-8	MS1_pos	DP2	MED5.5	25.6	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_061_L1-57.mzML	186807595.19747397	20929569.537226003	11.203810806033552	L1-57	MS1_pos	DP3	MED0.5	24.8	214.0	Mediterranean
Sep2023_conjBA_BeefDiet_062_L1-19.mzML	130322253.857967	33530965.68337	25.729270858002547	L1-19	MS1_pos	DP1	MED2.5	27.2	206.0	Mediterranean
Sep2023_conjBA_BeefDiet_052_L1-4.mzML	210403905.385288	47982986.438279994	22.80517861605961	L1-4	MS1_pos	DP3	MED2.5	27.0	201.0	Mediterranean
Sep2023_conjBA_BeefDiet_076_L1-42.mzML	205016597.17904502	56675683.42746	27.644436697953783	L1-42	MS1_pos	DP4	MED5.5	27.8	210.0	Mediterranean
Sep2023_conjBA_BeefDiet_163_L1-101.mzML	142893538.06817	46122196.96884	32.27731470042862	L1-101	MS1_pos	DP1	MED0.5	24.4	225.0	Mediterranean
