filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_017_L1-106.mzML	180382614.908803	652002.09334	0.36145506243472314	L1-106	MS1_pos	DP2	MED5.5	27.0	226.0	Mediterranean
Sep2023_conjBA_BeefDiet_026_L1-120.mzML	172568499.26011598	483025.38431000005	0.2799035666306202	L1-120	MS1_pos	DP2	MED5.5	26.0	229.0	Mediterranean
Sep2023_conjBA_BeefDiet_007_L1-98.mzML	118469048.880211	387916.62454	0.327441325989068	L1-98	MS1_pos	DP3	MED5.5	23.9	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_012_L1-30.mzML	128256794.96837202	687838.1402699999	0.5362976210653166	L1-30	MS1_pos	DP2	MED5.5	25.2	208.0	Mediterranean
Sep2023_conjBA_BeefDiet_018_L1-51.mzML	150109355.09902	965449.5523000001	0.6431641463406054	L1-51	MS1_pos	DP3	MED5.5	25.7	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_011_L1-47.mzML	202493044.626431	236619.9687	0.11685338088354	L1-47	MS1_pos	DP4	MED0.5	25.0	211.0	Mediterranean
Sep2023_conjBA_BeefDiet_013_L1-116.mzML	157112924.745579	877230.0345999999	0.5583436474246427	L1-116	MS1_pos	DP3	MED0.5	23.8	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_009_L1-143.mzML	131045963.777884	683951.96383	0.5219176112812315	L1-143	MS1_pos	DP1	MED5.5	26.8	236.0	Mediterranean
Sep2023_conjBA_BeefDiet_010_L1-56.mzML	126149664.14716999	405692.15468	0.3215959054847005	L1-56	MS1_pos	DP2	MED5.5	24.3	214.0	Mediterranean
Sep2023_conjBA_BeefDiet_045_L1-93.mzML	228032476.872828	624266.0467000001	0.2737619023662794	L1-93	MS1_pos	DP2	MED2.5	24.5	223.0	Mediterranean
Sep2023_conjBA_BeefDiet_046_L1-67.mzML	145584177.81391	601674.8119499999	0.41328310602480334	L1-67	MS1_pos	DP3	MED0.5	27.2	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_050_L1-139.mzML	144531395.82784498	874396.0547	0.6049869301348998	L1-139	MS1_pos	DP4	MED0.5	27.5	234.0	Mediterranean
Sep2023_conjBA_BeefDiet_041_L1-77.mzML	187175550.271244	615159.46245	0.3286537486111549	L1-77	MS1_pos	DP3	MED5.5	24.5	218.0	Mediterranean
